season,team,week,group,composite_z,score,grade
2014,Air Force,15,DL/EDGE,0.3781241097380104,70.7,B-
2014,Air Force,15,OL,-0.7751801130872894,53.4,D
2014,Air Force,15,QB,1.0499989262082918,80.7,A-
2014,Air Force,15,RB,-0.8366655442702529,52.5,D-
2014,Air Force,15,Secondary,-0.36406701447259343,59.5,D+
2014,Air Force,15,WR/TE,1.1658244259046164,82.5,A-
2014,Akron,15,DL/EDGE,0.33919397245981037,70.1,B-
2014,Akron,15,OL,0.3532097825110998,70.3,B-
2014,Akron,15,QB,-1.124032573437233,48.1,F
2014,Akron,15,RB,-0.13849092289271359,62.9,C-
2014,Akron,15,Secondary,0.6119624877466333,74.2,B
2014,Akron,15,WR/TE,-1.335160531259963,45.0,F
2014,Alabama,15,DL/EDGE,0.5715348786601437,73.6,B
2014,Alabama,15,OL,0.5313254580309847,73.0,B-
2014,Alabama,15,QB,1.4708827337587895,87.1,A
2014,Alabama,15,RB,-0.1769923672802381,62.3,C-
2014,Alabama,15,Secondary,0.3656176021737863,70.5,B-
2014,Alabama,15,WR/TE,1.550192632820584,88.3,A
2014,App State,15,DL/EDGE,-0.011559350221288789,64.8,C
2014,App State,15,OL,0.432514561814763,71.5,B-
2014,App State,15,QB,0.5564011127403726,73.3,B
2014,App State,15,RB,0.6185889706566632,74.3,B
2014,App State,15,Secondary,0.5574748284421939,73.4,B
2014,App State,15,WR/TE,0.26685867844501365,69.0,C+
2014,Arizona,15,DL/EDGE,0.23971673968326015,68.6,C+
2014,Arizona,15,OL,0.36360110121826583,70.5,B-
2014,Arizona,15,QB,-0.10489533593399433,63.4,C
2014,Arizona,15,RB,0.6511352358697711,74.8,B
2014,Arizona,15,Secondary,-0.38349443240161596,59.2,D+
2014,Arizona,15,WR/TE,0.37231951403710023,70.6,B-
2014,Arizona State,15,DL/EDGE,1.0070138500343235,80.1,A-
2014,Arizona State,15,OL,-0.36486308627201874,59.5,D+
2014,Arizona State,15,QB,-0.0887366228291851,63.7,C
2014,Arizona State,15,RB,0.16771622916057227,67.5,C+
2014,Arizona State,15,Secondary,-0.0200892294156477,64.7,C
2014,Arizona State,15,WR/TE,0.2237214049626746,68.4,C+
2014,Arkansas,15,DL/EDGE,0.4827515418248249,72.2,B-
2014,Arkansas,15,OL,0.6118181613540585,74.2,B
2014,Arkansas,15,QB,-0.07237615221870228,63.9,C
2014,Arkansas,15,RB,0.7050667244423978,75.6,B
2014,Arkansas,15,Secondary,-0.4749191617138157,57.9,D+
2014,Arkansas,15,WR/TE,-0.4922851843554009,57.6,D+
2014,Arkansas State,15,DL/EDGE,0.4365942809431469,71.5,B-
2014,Arkansas State,15,OL,0.021992199173375138,65.3,C
2014,Arkansas State,15,QB,0.12690610531957164,66.9,C
2014,Arkansas State,15,RB,0.32766654140182505,69.9,C+
2014,Arkansas State,15,Secondary,0.39806604186729266,71.0,B-
2014,Arkansas State,15,WR/TE,0.21857012639510293,68.3,C+
2014,Army,15,DL/EDGE,-1.1838051103632157,47.2,F
2014,Army,15,OL,-1.1216632999898741,48.2,F
2014,Army,15,QB,-0.4846861751900883,57.7,D+
2014,Army,15,RB,0.1565609094490517,67.3,C+
2014,Army,15,Secondary,-0.12107631279779581,63.2,C
2014,Army,15,WR/TE,-0.5828475523820916,56.3,D
2014,Auburn,15,DL/EDGE,0.04808760342967221,65.7,C
2014,Auburn,15,OL,0.33246764927065997,70.0,C+
2014,Auburn,15,QB,1.3910125963956872,85.9,A
2014,Auburn,15,RB,0.5526608128068173,73.3,B
2014,Auburn,15,Secondary,0.3640105066143485,70.5,B-
