season,team,QB,OL,RB,WR/TE,DL/EDGE,Secondary
2014,Air Force,A-,D,D-,A-,B-,D+
2014,Akron,F,B-,C-,F,B-,B
2014,Alabama,A,B-,C-,A,B,B-
2014,App State,B,B-,B,C+,C,B
2014,Arizona,C,B-,B,B-,C+,D+
2014,Arizona State,C,D+,C+,C+,A-,C
2014,Arkansas,C,B,B,D+,B-,D+
2014,Arkansas State,C,C,C+,C+,B-,B-
2014,Army,D+,F,C+,D,F,C
2014,Auburn,A,C+,B,A-,C,B-
2014,BYU,C+,C,D+,B,C-,C+
2014,Ball State,C-,C,D+,D,D-,C
2014,Baylor,A-,B,C,A,B+,D
2014,Boise State,B,C-,B-,B+,B-,B
2014,Boston College,D+,D,B,D,B+,D+
2014,Bowling Green,C-,C,C+,C-,C,C+
2014,Buffalo,B,C,C+,B+,B,F
2014,California,B-,B-,D+,B+,D-,D-
2014,Central Michigan,C+,C-,D,C,C,B-
2014,Cincinnati,B,B+,C,B,D,F
2014,Clemson,B-,D,D-,C+,A+,A-
2014,Colorado,C,C,C-,C-,D-,D-
2014,Colorado State,A,B-,B,A,D-,C
2014,Duke,D+,A-,B-,F,C,B+
2014,East Carolina,B,B+,B,C,C-,B-
2014,Eastern Michigan,F,D-,D-,D,D+,F
2014,Florida,D,D+,D+,C-,B-,B+
2014,Florida Atlantic,C-,C+,D-,C-,F,D+
2014,Florida International,F,F,F,D+,C+,D+
2014,Florida State,B,C+,C,B,C,C+
2014,Fresno State,D,C,B-,C-,C,F
2014,Georgia,B+,B,A-,C,C,A-
2014,Georgia Southern,B,A,A,B-,D+,B-
2014,Georgia State,C+,D,F,B-,F,D
2014,Georgia Tech,B+,B-,B,A,D,C
2014,Hawai'i,F,D,D,F,C,D-
2014,Houston,C-,C,B-,C+,C,B+
2014,Idaho,D+,C,D-,C,B,F
2014,Illinois,C,D+,C-,D+,C,D-
2014,Indiana,F,B,A,D-,D,B+
2014,Iowa,C+,C-,D,C,B-,B-
2014,Iowa State,D,C+,D+,D-,F,C-
2014,Kansas,D+,D+,C-,D+,D,C-
2014,Kansas State,A,D,D+,A-,C-,C+
2014,Kent State,F,C-,C-,F,D,D+
2014,Kentucky,D+,C,B-,C,D+,B
2014,LSU,D+,C-,D+,B,D+,B+
2014,Louisiana,C-,B+,B+,D+,C,D
2014,Louisiana Tech,C+,C,B-,B,B,A-
2014,Louisville,C,D-,D+,C+,B,A-
2014,Marshall,B+,A+,A,B+,C+,A-
2014,Maryland,D+,C-,C,C-,C+,C+
2014,Massachusetts,C+,C-,D-,C+,C,C+
2014,Memphis,B-,D,D,D,B,A-
2014,Miami,B-,A-,B,B-,C-,B
2014,Miami (OH),D,C,C-,C-,D+,C-
2014,Michigan,D-,C+,C+,F,A-,C-
2014,Michigan State,B+,C+,B-,B+,C,A-
2014,Middle Tennessee,B,C,C,C,D,D+
2014,Minnesota,D+,C-,C,D+,D+,C+
2014,Mississippi State,A-,B,B,B,C,B
2014,Missouri,D+,C-,C+,C-,B+,B+
2014,NC State,D+,B+,A-,D+,B,C-
2014,Navy,C+,C,B,B,F,C
2014,Nebraska,C+,B,C+,C+,C,A-
2014,Nevada,C,C+,C+,D+,D,B-
2014,New Mexico,D,C+,A-,C-,D+,F
2014,New Mexico State,C-,C+,C+,C,F,B-
2014,North Carolina,C,C,D+,B,C,F
2014,North Texas,D-,C-,C-,F,C-,C
2014,Northern Illinois,C,C+,C+,C,C-,C
2014,Northwestern,D,D+,D,D-,C-,B-
2014,Notre Dame,B-,C,D+,B,B-,C
2014,Ohio,D,C,C-,D+,D+,C-
2014,Ohio State,A-,B,A-,A,B-,A-
2014,Oklahoma,C-,A-,A-,C,C,C
2014,Oklahoma State,C-,D-,D+,C+,B-,D
2014,Old Dominion,B-,A-,A-,C+,D,F
2014,Ole Miss,C+,C+,B,B,B+,A-
2014,Oregon,A+,B,B+,A+,C,C+
2014,Oregon State,C,C,B-,D+,D+,C-
2014,Penn State,D-,F,C,D+,A-,A-
2014,Pittsburgh,B,C,B-,C,F,C
2014,Purdue,F,B-,B,D-,C,C+
2014,Rice,B,D-,D,A-,C,D
2014,Rutgers,B,D,D,B+,D+,F
2014,SMU,F,D+,D-,F,F,F
2014,San Diego State,C-,B,A-,D+,C+,C
2014,San José State,C+,D+,C-,B-,D+,A-
2014,South Alabama,D-,D+,C,D-,D+,D
2014,South Carolina,B-,B-,C,B,F,C
2014,South Florida,D,D,D+,C-,C,D
2014,Southern Miss,C-,D+,D,D-,D,D
2014,Stanford,C+,B-,D+,D,B-,A-
2014,Syracuse,D-,D+,C+,F,A-,C-
2014,TCU,B,B+,B-,B+,A-,B
2014,Temple,F,C,D+,F,B,B
2014,Tennessee,D+,D,D,D-,B+,C+
2014,Texas,D+,D+,F,D+,B-,A
2014,Texas A&M,C+,B-,C+,B,C-,C-
2014,Texas State,C+,C,A-,C-,D,C
2014,Texas Tech,B-,B+,B-,B-,D,F
2014,Toledo,B-,B+,A-,B+,C,C-
2014,Troy,B-,C-,D+,D,F,D
2014,Tulane,F,C-,B,F,C+,C-
2014,Tulsa,D,C+,D-,C,C-,F
2014,UAB,C+,D-,D+,B+,B-,C-
2014,UCF,C,D-,F,B-,B,A
2014,UCLA,B-,D+,B,B,C-,B
2014,UConn,D,D-,D-,C-,C,B-
2014,UL Monroe,D,D,F,D-,A-,C+
2014,UNLV,D,C,C,C-,C,D
2014,USC,A,D,D+,A-,C-,B
2014,UTEP,C,B-,C+,C,D,C-
2014,UTSA,D-,D-,C-,F,B-,D
2014,Utah,C-,D,C-,D+,A-,C
2014,Utah State,C,D+,B-,C,A-,B+
2014,Vanderbilt,F,C-,F,F,C-,D+
2014,Virginia,D+,C,F,D,B,C
2014,Virginia Tech,D+,D,F,F,A,B-
2014,Wake Forest,F,F,F,F,B+,C
2014,Washington,B-,C-,C,B-,C,C
2014,Washington State,B-,C+,F,B,C+,F
2014,West Virginia,B,C+,D+,B-,C,B-
2014,Western Kentucky,A-,A-,B,B+,D+,F
2014,Western Michigan,A+,B-,C+,A-,C-,C
