season,team,QB,OL,RB,WR/TE,DL/EDGE,Secondary
2014,Air Force,80.7,53.4,52.5,82.5,70.7,59.5
2014,Akron,48.1,70.3,62.9,45.0,70.1,74.2
2014,Alabama,87.1,73.0,62.3,88.3,73.6,70.5
2014,App State,73.3,71.5,74.3,69.0,64.8,73.4
2014,Arizona,63.4,70.5,74.8,70.6,68.6,59.2
2014,Arizona State,63.7,59.5,67.5,68.4,80.1,64.7
2014,Arkansas,63.9,74.2,75.6,57.6,72.2,57.9
2014,Arkansas State,66.9,65.3,69.9,68.3,71.5,71.0
2014,Army,57.7,48.2,67.3,56.3,47.2,63.2
2014,Auburn,85.9,70.0,73.3,80.8,65.7,70.5
2014,BYU,69.8,66.1,57.6,73.5,61.0,69.6
2014,Ball State,61.9,64.2,58.3,54.2,50.9,63.7
2014,Baylor,80.2,73.7,63.2,86.2,79.9,54.6
2014,Boise State,76.4,62.6,71.6,79.6,71.5,75.6
2014,Boston College,57.0,53.2,75.4,55.2,79.9,58.7
2014,Bowling Green,62.3,66.4,69.2,62.8,63.4,67.1
2014,Buffalo,73.4,65.1,68.6,79.3,74.3,45.7
2014,California,72.3,72.7,58.4,79.4,52.1,50.4
2014,Central Michigan,69.4,61.4,55.9,66.8,63.4,72.6
2014,Cincinnati,74.4,78.3,65.6,75.5,56.4,44.9
2014,Clemson,72.7,55.4,50.3,68.5,97.3,83.8
2014,Colorado,64.2,66.6,61.0,60.1,50.6,52.8
2014,Colorado State,88.9,71.1,75.2,85.7,52.6,64.3
2014,Duke,59.4,82.8,71.0,48.1,64.0,77.9
2014,East Carolina,74.6,78.5,74.5,64.1,60.0,71.5
2014,Eastern Michigan,45.8,50.6,53.0,53.8,57.3,42.2
2014,Florida,55.2,59.3,58.8,61.6,71.2,79.3
2014,Florida Atlantic,61.5,68.7,50.0,61.1,40.1,58.1
2014,Florida International,46.3,46.1,48.2,58.3,67.2,59.3
2014,Florida State,76.6,69.3,65.5,75.9,64.1,68.1
2014,Fresno State,54.2,66.9,71.9,60.2,66.3,43.8
2014,Georgia,78.7,76.2,82.6,65.2,63.0,80.4
2014,Georgia Southern,76.3,89.7,89.8,72.2,58.5,71.7
2014,Georgia State,69.9,56.2,37.4,71.0,46.3,55.8
2014,Georgia Tech,79.6,72.0,75.1,88.2,53.5,65.2
2014,Hawai'i,45.1,56.7,55.8,44.9,64.1,50.9
2014,Houston,60.1,65.9,72.2,67.5,65.3,79.7
2014,Idaho,57.2,65.5,50.7,64.0,74.5,30.6
2014,Illinois,63.8,59.1,60.9,58.0,64.4,51.0
2014,Indiana,47.5,74.8,86.4,50.8,56.7,78.2
2014,Iowa,69.1,61.6,55.2,66.2,70.1,70.0
2014,Iowa State,56.0,68.4,59.3,51.5,48.8,60.3
2014,Kansas,59.0,58.8,60.9,60.0,53.8,60.5
2014,Kansas State,85.7,55.3,59.2,82.5,60.5,69.0
