game_id,season,week,season_type,home_team,away_team,spread,home_win_probability
400547644,2014,1,regular,Houston,UTSA,-12.5,0.806
400547728,2014,1,regular,Massachusetts,Boston College,12.5,0.194
400547802,2014,1,regular,NC State,Georgia Southern,-23.0,0.944
400547829,2014,1,regular,UL Monroe,Wake Forest,5.0,0.365
400547834,2014,1,regular,Oklahoma,Louisiana Tech,-37.5,0.995
400547836,2014,1,regular,Texas,North Texas,-26.5,0.966
400547943,2014,1,regular,Michigan,App State,-33.5,0.99
400547982,2014,1,regular,Navy,Ohio State,19.5,0.089
400548003,2014,1,regular,Western Kentucky,Bowling Green,7.5,0.302
400548009,2014,1,regular,Mississippi State,Southern Miss,-26.0,0.964
400548010,2014,1,regular,UAB,Troy,-1.0,0.527
400548011,2014,1,regular,New Mexico,UTEP,-6.5,0.673
400548097,2014,1,regular,Kent State,Ohio,-1.5,0.541
400548171,2014,1,regular,Colorado,Colorado State,-3.0,0.582
400548398,2014,1,regular,Auburn,Arkansas,-21.0,0.926
400547650,2014,2,regular,South Carolina,East Carolina,-15.5,0.857
400547652,2014,2,regular,UCLA,Memphis,-24.0,0.951
400547653,2014,2,regular,North Texas,SMU,-4.0,0.609
400547654,2014,2,regular,South Florida,Maryland,10.0,0.245
400547655,2014,2,regular,Temple,Navy,4.0,0.391
400547656,2014,2,regular,Tulane,Georgia Tech,10.5,0.234
400547657,2014,2,regular,Tulsa,Oklahoma,23.0,0.056
400547729,2014,2,regular,Boston College,Pittsburgh,-1.0,0.527
400547752,2014,2,regular,Troy,Duke,18.0,0.107
400547796,2014,2,regular,North Carolina,San Diego State,-13.5,0.824
400547803,2014,2,regular,NC State,Old Dominion,-17.0,0.879
400547826,2014,2,regular,Ohio State,Virginia Tech,-12.0,0.796
400547843,2014,2,regular,Iowa State,Kansas State,15.5,0.143
400547845,2014,2,regular,UTEP,Texas Tech,18.0,0.107
400547846,2014,2,regular,Texas,BYU,-4.5,0.622
400547905,2014,2,regular,Illinois,Western Kentucky,-1.5,0.541
400547929,2014,2,regular,Iowa,Ball State,-17.5,0.886
400547944,2014,2,regular,Notre Dame,Michigan,-6.0,0.66
400547953,2014,2,regular,Oregon,Michigan State,-11.0,0.776
400547961,2014,2,regular,Minnesota,Middle Tennessee,-14.0,0.833
400547976,2014,2,regular,Northwestern,Northern Illinois,-2.5,0.568
400547986,2014,2,regular,Penn State,Akron,-18.0,0.893
