season,team,win_total_line,over_odds,under_odds,source_book,as_of_date,actual_wins,result,team_raw,notes
2008,Alabama,8.0,,,unspecified_vegas_futures,preseason,12.0,Over,Alabama,
2008,Arizona State,8.5,,,unspecified_vegas_futures,preseason,5.0,Under,Arizona State,
2008,Arkansas,6.0,,,unspecified_vegas_futures,preseason,5.0,Under,Arkansas,
2008,Auburn,9.0,,,unspecified_vegas_futures,preseason,5.0,Under,Auburn,
2008,BYU,9.0,,,unspecified_vegas_futures,preseason,10.0,Over,BYU,
2008,Boise State,9.0,,,unspecified_vegas_futures,preseason,12.0,Over,Boise State,
2008,California,8.0,,,unspecified_vegas_futures,preseason,8.0,Push,California,
2008,Clemson,9.5,,,unspecified_vegas_futures,preseason,7.0,Under,Clemson,
2008,Colorado,6.0,,,unspecified_vegas_futures,preseason,5.0,Under,Colorado,
2008,Florida,10.0,,,unspecified_vegas_futures,preseason,11.0,Over,Florida,
2008,Florida State,8.0,,,unspecified_vegas_futures,preseason,8.0,Push,Florida State,
2008,Fresno State,8.5,,,unspecified_vegas_futures,preseason,7.0,Under,Fresno State,
2008,Georgia,9.0,,,unspecified_vegas_futures,preseason,9.0,Push,Georgia,
2008,Georgia Tech,6.0,,,unspecified_vegas_futures,preseason,9.0,Over,Georgia Tech,
2008,Illinois,8.0,,,unspecified_vegas_futures,preseason,5.0,Under,Illinois,
2008,Iowa,7.0,,,unspecified_vegas_futures,preseason,8.0,Over,Iowa,
2008,Kansas,8.0,,,unspecified_vegas_futures,preseason,7.0,Under,Kansas,
2008,LSU,9.0,,,unspecified_vegas_futures,preseason,7.0,Under,LSU,
2008,Maryland,7.0,,,unspecified_vegas_futures,preseason,7.0,Push,Maryland,
2008,Miami,8.0,,,unspecified_vegas_futures,preseason,7.0,Under,Miami (FL),
2008,Michigan,8.0,,,unspecified_vegas_futures,preseason,3.0,Under,Michigan,
2008,Michigan State,7.0,,,unspecified_vegas_futures,preseason,9.0,Over,Michigan State,
2008,Mississippi State,7.0,,,unspecified_vegas_futures,preseason,4.0,Under,Mississippi State,
2008,Missouri,9.0,,,unspecified_vegas_futures,preseason,9.0,Push,Missouri,
2008,Nebraska,7.0,,,unspecified_vegas_futures,preseason,8.0,Over,Nebraska,
2008,North Carolina,6.0,,,unspecified_vegas_futures,preseason,8.0,Over,North Carolina,
2008,Notre Dame,7.0,,,unspecified_vegas_futures,preseason,6.0,Under,Notre Dame,
2008,Ohio State,10.0,,,unspecified_vegas_futures,preseason,10.0,Push,Ohio State,
2008,Oklahoma,10.0,,,unspecified_vegas_futures,preseason,11.0,Over,Oklahoma,
2008,Ole Miss,5.5,,,unspecified_vegas_futures,preseason,8.0,Over,Ole Miss,
2008,Oregon,8.0,,,unspecified_vegas_futures,preseason,9.0,Over,Oregon,
2008,Penn State,8.5,,,unspecified_vegas_futures,preseason,11.0,Over,Penn State,
2008,Pittsburgh,7.0,,,unspecified_vegas_futures,preseason,9.0,Over,Pittsburgh,
2008,Purdue,7.0,,,unspecified_vegas_futures,preseason,4.0,Under,Purdue,
2008,Rutgers,7.5,,,unspecified_vegas_futures,preseason,7.0,Under,Rutgers,
2008,South Carolina,8.0,,,unspecified_vegas_futures,preseason,7.0,Under,South Carolina,
