season,team,conference
2005,Air Force,Mountain West
2005,Akron,Mid-American
2005,Alabama,SEC
2005,Arizona,Pac-10
2005,Arizona State,Pac-10
2005,Arkansas,SEC
2005,Arkansas State,Sun Belt
2005,Army,FBS Independents
2005,Auburn,SEC
2005,BYU,Mountain West
2005,Ball State,Mid-American
2005,Baylor,Big 12
2005,Boise State,Western Athletic
2005,Boston College,ACC
2005,Bowling Green,Mid-American
2005,Buffalo,Mid-American
2005,California,Pac-10
2005,Central Michigan,Mid-American
2005,Cincinnati,Big East
2005,Clemson,ACC
2005,Colorado,Big 12
2005,Colorado State,Mountain West
2005,Duke,ACC
2005,East Carolina,Conference USA
2005,Eastern Michigan,Mid-American
2005,Florida,SEC
2005,Florida Atlantic,Sun Belt
2005,Florida International,Sun Belt
2005,Florida State,ACC
2005,Fresno State,Western Athletic
2005,Georgia,SEC
2005,Georgia Tech,ACC
2005,Hawai'i,Western Athletic
2005,Houston,Conference USA
2005,Idaho,Western Athletic
2005,Illinois,Big Ten
2005,Indiana,Big Ten
2005,Iowa,Big Ten
2005,Iowa State,Big 12
2005,Kansas,Big 12
2005,Kansas State,Big 12
2005,Kent State,Mid-American
2005,Kentucky,SEC
2005,LSU,SEC
2005,Louisiana,Sun Belt
2005,Louisiana Tech,Western Athletic
2005,Louisville,Big East
2005,Marshall,Conference USA
2005,Maryland,ACC
2005,Memphis,Conference USA
2005,Miami,ACC
2005,Miami (OH),Mid-American
2005,Michigan,Big Ten
2005,Michigan State,Big Ten
2005,Middle Tennessee,Sun Belt
2005,Minnesota,Big Ten
2005,Mississippi State,SEC
2005,Missouri,Big 12
2005,NC State,ACC
2005,Navy,FBS Independents
2005,Nebraska,Big 12
2005,Nevada,Western Athletic
2005,New Mexico,Mountain West
2005,New Mexico State,Western Athletic
2005,North Carolina,ACC
2005,North Texas,Sun Belt
2005,Northern Illinois,Mid-American
2005,Northwestern,Big Ten
2005,Notre Dame,FBS Independents
2005,Ohio,Mid-American
2005,Ohio State,Big Ten
2005,Oklahoma,Big 12
2005,Oklahoma State,Big 12
2005,Ole Miss,SEC
2005,Oregon,Pac-10
2005,Oregon State,Pac-10
2005,Penn State,Big Ten
2005,Pittsburgh,Big East
2005,Purdue,Big Ten
2005,Rice,Conference USA
2005,Rutgers,Big East
2005,SMU,Conference USA
2005,San Diego State,Mountain West
2005,San José State,Western Athletic
2005,South Carolina,SEC
2005,South Florida,Big East
2005,Southern Miss,Conference USA
2005,Stanford,Pac-10
2005,Syracuse,Big East
2005,TCU,Mountain West
2005,Temple,FBS Independents
2005,Tennessee,SEC
2005,Texas,Big 12
2005,Texas A&M,Big 12
2005,Texas Tech,Big 12
2005,Toledo,Mid-American
2005,Troy,Sun Belt
2005,Tulane,Conference USA
2005,Tulsa,Conference USA
2005,UAB,Conference USA
2005,UCF,Conference USA
2005,UCLA,Pac-10
2005,UConn,Big East
2005,UL Monroe,Sun Belt
2005,UNLV,Mountain West
2005,USC,Pac-10
2005,UTEP,Conference USA
2005,Utah,Mountain West
2005,Utah State,Western Athletic
2005,Vanderbilt,SEC
2005,Virginia,ACC
2005,Virginia Tech,ACC
2005,Wake Forest,ACC
2005,Washington,Pac-10
2005,Washington State,Pac-10
2005,West Virginia,Big East
2005,Western Michigan,Mid-American
2005,Wisconsin,Big Ten
2005,Wyoming,Mountain West
2006,Air Force,Mountain West
2006,Akron,Mid-American
2006,Alabama,SEC
2006,Arizona,Pac-10
2006,Arizona State,Pac-10
2006,Arkansas,SEC
2006,Arkansas State,Sun Belt
2006,Army,FBS Independents
2006,Auburn,SEC
2006,BYU,Mountain West
2006,Ball State,Mid-American
2006,Baylor,Big 12
2006,Boise State,Western Athletic
2006,Boston College,ACC
2006,Bowling Green,Mid-American
2006,Buffalo,Mid-American
2006,California,Pac-10
2006,Central Michigan,Mid-American
2006,Cincinnati,Big East
2006,Clemson,ACC
2006,Colorado,Big 12
2006,Colorado State,Mountain West
2006,Duke,ACC
2006,East Carolina,Conference USA
2006,Eastern Michigan,Mid-American
2006,Florida,SEC
2006,Florida Atlantic,Sun Belt
2006,Florida International,Sun Belt
2006,Florida State,ACC
2006,Fresno State,Western Athletic
2006,Georgia,SEC
2006,Georgia Tech,ACC
2006,Hawai'i,Western Athletic
2006,Houston,Conference USA
2006,Idaho,Western Athletic
2006,Illinois,Big Ten
2006,Indiana,Big Ten
2006,Iowa,Big Ten
2006,Iowa State,Big 12
2006,Kansas,Big 12
2006,Kansas State,Big 12
2006,Kent State,Mid-American
2006,Kentucky,SEC
2006,LSU,SEC
2006,Louisiana,Sun Belt
2006,Louisiana Tech,Western Athletic
2006,Louisville,Big East
2006,Marshall,Conference USA
2006,Maryland,ACC
2006,Memphis,Conference USA
2006,Miami,ACC
2006,Miami (OH),Mid-American
2006,Michigan,Big Ten
2006,Michigan State,Big Ten
2006,Middle Tennessee,Sun Belt
2006,Minnesota,Big Ten
2006,Mississippi State,SEC
2006,Missouri,Big 12
2006,NC State,ACC
2006,Navy,FBS Independents
2006,Nebraska,Big 12
2006,Nevada,Western Athletic
2006,New Mexico,Mountain West
2006,New Mexico State,Western Athletic
2006,North Carolina,ACC
2006,North Texas,Sun Belt
2006,Northern Illinois,Mid-American
2006,Northwestern,Big Ten
2006,Notre Dame,FBS Independents
2006,Ohio,Mid-American
2006,Ohio State,Big Ten
