season,team,split,n_games,n_games_home,projected_wins_mean,projected_wins_median,projected_wins_p05,projected_wins_p25,projected_wins_p50,projected_wins_p75,projected_wins_p95,line_total,over_odds,under_odds,line_over_under_code,calibration_bin,our_prob_over_line_raw,our_prob_over_line
2014,Air Force,secondary,12,6,4.6115,4.0,1.0,3.0,4.0,6.0,9.0,,,,,,,
2014,Akron,secondary,12,6,5.8945,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Alabama,secondary,13,7,9.455,10.0,5.0,8.0,10.0,11.0,13.0,10.5,-140.0,120.0,-1.0,10.5,0.4035,0.5008162011407915
2014,App State,secondary,12,6,6.2835,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Arizona,secondary,13,7,7.0605,7.0,2.0,5.0,7.0,9.0,12.0,,,,,,,
2014,Arizona State,secondary,12,6,7.8255,8.0,3.0,6.0,8.0,10.0,12.0,7.5,-130.0,110.0,-1.0,8.5,0.575,0.5470711795585231
2014,Arkansas,secondary,12,7,4.6705,4.0,1.0,3.0,4.0,6.0,9.0,,,,,,,
2014,Arkansas State,secondary,12,6,6.6965,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Army,secondary,12,5,5.872,6.0,2.0,4.0,6.0,7.0,10.0,,,,,,,
2014,Auburn,secondary,12,7,7.612,8.0,3.0,6.0,8.0,10.0,11.0,9.0,-110.0,-110.0,0.0,8.5,0.2545,0.4551667529332636
2014,BYU,secondary,12,6,7.9695,8.0,3.0,6.0,8.0,10.0,12.0,9.5,-110.0,-110.0,0.0,10.5,0.3215,0.4770064090659038
2014,Ball State,secondary,12,6,7.533,8.0,4.0,6.0,8.0,9.0,11.0,,,,,,,
2014,Baylor,secondary,12,6,8.6105,9.0,4.0,7.0,9.0,11.0,12.0,,,,,,,
2014,Boise State,secondary,13,7,7.824,8.0,3.0,6.0,8.0,10.0,12.0,,,,,,,
2014,Boston College,secondary,12,7,6.305,6.0,2.0,4.0,6.0,8.0,11.0,,,,,,,
2014,Bowling Green,secondary,13,6,8.3155,9.0,3.0,6.0,9.0,10.0,12.0,,,,,,,
2014,Buffalo,secondary,11,6,7.133,7.0,3.0,6.0,7.0,9.0,10.0,,,,,,,
2014,California,secondary,12,7,4.7195,4.0,1.0,3.0,4.0,6.0,9.049999999999956,,,,,,,
2014,Central Michigan,secondary,12,6,5.7275,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Cincinnati,secondary,12,6,7.0835,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Clemson,secondary,12,7,8.336,9.0,4.0,7.0,9.0,10.0,12.0,8.5,105.0,-125.0,1.0,8.5,0.5195,0.5321580623488765
2014,Colorado,secondary,12,6,4.1465,4.0,0.0,2.0,4.0,6.0,9.0,,,,,,,
2014,Colorado State,secondary,12,5,7.175,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Duke,secondary,12,7,7.0955,7.0,3.0,5.0,7.0,9.0,11.0,,,,,,,
2014,East Carolina,secondary,12,6,6.967,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Eastern Michigan,secondary,12,5,3.7765,3.0,1.0,2.0,3.0,5.0,8.0,,,,,,,
2014,Florida,secondary,11,6,5.4215,5.0,2.0,4.0,5.0,7.0,9.0,7.5,-130.0,110.0,-1.0,8.5,0.201,0.4349823968856839
2014,Florida Atlantic,secondary,12,5,5.7035,6.0,1.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Florida International,secondary,12,8,4.5665,4.0,2.0,3.0,4.0,6.0,9.0,,,,,,,
2014,Florida State,secondary,13,7,10.239,11.0,6.0,9.0,11.0,12.0,13.0,11.5,110.0,-130.0,1.0,10.5,0.3455,0.4842243926225453
2014,Fresno State,secondary,13,6,8.6725,9.0,4.0,7.0,9.0,11.0,13.0,,,,,,,
2014,Georgia,secondary,12,7,7.918,8.0,3.0,6.0,8.0,10.0,12.0,9.5,-120.0,100.0,-1.0,10.5,0.3135,0.4745411642406404
2014,Georgia Southern,secondary,12,5,5.7335,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Georgia State,secondary,12,5,4.9205,5.0,1.0,3.0,5.0,7.0,9.0,,,,,,,
2014,Georgia Tech,secondary,13,6,6.9845,7.0,2.0,5.0,7.0,9.0,12.0,,,,,,,
2014,Hawai'i,secondary,13,6,5.9495,6.0,2.0,4.0,6.0,8.0,11.0,,,,,,,
2014,Houston,secondary,12,7,7.5175,8.0,3.0,6.0,8.0,10.0,11.0,,,,,,,
2014,Idaho,secondary,11,5,4.254,4.0,1.0,2.0,4.0,6.0,9.0,,,,,,,
2014,Illinois,secondary,12,7,5.3355,5.0,2.0,3.0,5.0,7.0,10.0,,,,,,,
2014,Indiana,secondary,12,6,5.7295,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Iowa,secondary,12,7,7.7355,8.0,3.0,6.0,8.0,10.0,12.0,8.0,-200.0,175.0,-1.0,8.5,0.439,0.5105650763916361
2014,Iowa State,secondary,12,7,4.805,5.0,1.0,3.0,5.0,7.0,9.0,,,,,,,
2014,Kansas,secondary,12,6,4.195,4.0,1.0,2.0,4.0,6.0,8.0,,,,,,,
2014,Kansas State,secondary,12,7,6.921,7.0,3.0,5.0,7.0,9.0,11.0,7.5,-130.0,110.0,-1.0,8.5,0.4185,0.5049636022189723
2014,Kent State,secondary,11,6,5.011,5.0,1.0,3.0,5.0,7.0,9.0,,,,,,,
2014,Kentucky,secondary,12,7,4.5225,4.0,1.0,3.0,4.0,6.0,9.0,,,,,,,
2014,LSU,secondary,12,7,7.8535,8.0,3.950000000000003,6.0,8.0,10.0,12.0,9.0,-130.0,110.0,-1.0,8.5,0.284,0.4651453759939517
2014,Louisiana,secondary,12,6,7.0625,7.0,3.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Louisiana Tech,secondary,13,5,5.555,5.0,2.0,4.0,5.0,7.0,10.0,,,,,,,
2014,Louisville,secondary,12,6,7.718,8.0,3.0,6.0,8.0,10.0,11.0,8.0,100.0,-120.0,1.0,8.5,0.4225,0.5060621300071734
2014,Marshall,secondary,13,7,9.328,10.0,4.0,8.0,10.0,11.0,13.0,,,,,,,
2014,Maryland,secondary,12,6,5.3975,5.0,1.0,3.0,5.0,7.0,10.0,,,,,,,
2014,Massachusetts,secondary,12,6,3.881,4.0,0.0,2.0,4.0,6.0,9.0,,,,,,,
2014,Memphis,secondary,12,6,5.7395,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Miami,secondary,12,7,6.209,6.0,2.0,4.0,6.0,8.0,11.0,,,,,,,
2014,Miami (OH),secondary,12,6,4.4555,4.0,1.0,3.0,4.0,6.0,9.0,,,,,,,
2014,Michigan,secondary,12,7,6.3545,6.0,2.0,4.0,6.0,8.0,11.0,7.5,-170.0,145.0,-1.0,8.5,0.3565,0.4874539159687802
2014,Michigan State,secondary,12,7,7.88,8.0,4.0,6.0,8.0,10.0,12.0,9.5,-120.0,100.0,-1.0,10.5,0.277,0.4628359013716839
2014,Middle Tennessee,secondary,12,6,6.9465,7.0,3.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Minnesota,secondary,12,7,6.2995,6.0,2.0,4.0,6.0,8.0,11.0,,,,,,,
2014,Mississippi State,secondary,12,7,6.7515,7.0,3.0,5.0,7.0,9.0,11.0,7.5,-110.0,-110.0,0.0,8.5,0.3915,0.4974624519930727
2014,Missouri,secondary,13,7,8.33,9.0,4.0,7.0,9.0,10.0,12.0,7.5,-125.0,105.0,-1.0,8.5,0.634,0.563408472621082
2014,NC State,secondary,12,7,5.44,5.0,2.0,4.0,5.0,7.0,10.0,,,,,,,
2014,Navy,secondary,12,5,7.042,7.0,3.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Nebraska,secondary,12,7,6.7075,7.0,2.0,5.0,7.0,9.0,11.0,8.0,-120.0,100.0,-1.0,8.5,0.2635,0.4582821406863966
2014,Nevada,secondary,12,6,4.8845,5.0,1.0,3.0,5.0,7.0,9.0,6.0,-110.0,-110.0,0.0,6.5,0.267,0.4594759943911713
2014,New Mexico,secondary,12,6,4.3255,4.0,0.0,2.0,4.0,6.0,9.0,,,,,,,
2014,New Mexico State,secondary,12,6,4.8505,5.0,1.0,3.0,5.0,7.0,9.0,,,,,,,
2014,North Carolina,secondary,12,6,6.4285,6.0,2.0,4.0,6.0,8.0,11.0,8.5,130.0,-150.0,1.0,8.5,0.231,0.4466878195924783
2014,North Texas,secondary,12,6,7.512,8.0,3.0,6.0,8.0,9.0,11.0,,,,,,,
2014,Northern Illinois,secondary,13,5,9.102,9.0,4.950000000000003,7.0,9.0,11.0,13.0,,,,,,,
2014,Northwestern,secondary,12,7,6.363,6.0,2.0,4.0,6.0,8.0,11.0,7.5,120.0,-140.0,1.0,8.5,0.348,0.4849623882056923
2014,Notre Dame,secondary,12,6,5.773,6.0,1.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Ohio,secondary,12,6,6.1615,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,Ohio State,secondary,13,7,9.6695,10.0,4.0,8.0,10.0,12.0,13.0,,,,,,,
2014,Oklahoma,secondary,12,6,7.722,8.0,3.0,6.0,8.0,10.0,12.0,10.5,-120.0,100.0,-1.0,10.5,0.1775,0.4249223454769374
2014,Oklahoma State,secondary,12,6,7.937,8.0,3.0,6.0,8.0,10.0,12.0,,,,,,,
2014,Old Dominion,secondary,12,6,5.6125,5.0,2.0,4.0,5.0,7.0,10.0,,,,,,,
2014,Ole Miss,secondary,12,7,7.214,7.0,3.0,5.0,7.0,9.0,11.0,8.0,-150.0,130.0,-1.0,8.5,0.3375,0.4818460294472654
2014,Oregon,secondary,13,7,9.21,10.0,4.0,7.0,10.0,11.0,13.0,10.5,-160.0,140.0,-1.0,10.5,0.3735,0.4923616616127124
2014,Oregon State,secondary,12,7,6.3555,6.0,2.0,4.0,6.0,8.0,11.0,,,,,,,
2014,Penn State,secondary,12,7,6.7085,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Pittsburgh,secondary,12,7,6.9605,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Purdue,secondary,12,7,4.374,4.0,1.0,3.0,4.0,6.0,9.0,,,,,,,
2014,Rice,secondary,12,5,7.0375,7.0,2.0,5.0,7.0,9.0,11.0,,,,,,,
2014,Rutgers,secondary,12,5,5.4575,5.0,2.0,3.0,5.0,7.0,10.0,,,,,,,
2014,SMU,secondary,12,6,5.614,6.0,1.0,3.0,6.0,8.0,10.0,,,,,,,
2014,San Diego State,secondary,12,5,6.8275,7.0,3.0,5.0,7.0,9.0,11.0,,,,,,,
2014,San José State,secondary,12,5,5.806,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
2014,South Alabama,secondary,12,6,6.447,7.0,2.0,4.0,7.0,9.0,11.0,,,,,,,
2014,South Carolina,secondary,12,7,7.451,8.0,3.0,6.0,8.0,9.0,11.0,9.5,105.0,-125.0,1.0,10.5,0.2345,0.4479850693601673
2014,South Florida,secondary,12,7,5.361,5.0,1.0,3.0,5.0,7.0,10.0,,,,,,,
2014,Southern Miss,secondary,12,6,4.4175,4.0,1.0,3.0,4.0,6.0,9.0,,,,,,,
2014,Stanford,secondary,12,6,7.938,8.0,4.0,6.0,8.0,10.0,12.0,8.5,-125.0,105.0,-1.0,8.5,0.4515,0.5139503273740903
2014,Syracuse,secondary,12,6,5.976,6.0,2.0,4.0,6.0,8.0,10.0,,,,,,,
